Unique_ID,Extract_Date,Age_Of_Account,Num_Periods_Since_1st_Statement,Type_Of_Application,Days_Since_Most_Recent_Order,Num_Orders_L4_6P,Ave_Item_Value_L13P,Num_Items_Ordered_L13P,Ave_Num_Items_Per_Order_L4_6P,Value_Last_Payment,Num_Payments_CTD,Days_Since_Most_Recent_Payment,Num_Payments_To_Date,Num_Payments_L4_6P,Value_Payments_L3P,Value_Payments_L4_6P,Ave_Payment_Value_L4_6P,Ave_Payment_Value_L13P,Ave_Pmnt_Over_Bal_L13P_Perc,Ave_Current_Balance_L4_6P,Current_Bal_Over_Ave_Bal_L4_6P,Curr_Bal_Over_Highest_Bal_L4_6P,Current_Arrears_Amount,Num_1_Missed_Payment_L4_6P,Num_2_Or_More_Missed_Pmnts_L4_6P,Value_HR_Orders_Perc_Orders_L13P,Num_Account_Reviews_L13P,Ave_Order_Value_L13P,Num_Active_Accs_Not_In_Arrears,Bureau_Index_Retail,WS_L6M_Accs_Open_More_Than_12M,Num_Inactive_Accs_Sole_Joint,Good_Bad_Flag,Random_Number
732,20100318,84,134,T,149,2,24,15,8,2,0,133,9,1,0,2,2,2,1,67,211,125,30,1,0,0,5,178,-2,25,3,1,E,0.600890088
733,20090917,78,128,C,206,0,40,18,0,30,0,126,23,2,0,56,28,20,4,426,131,124,113,1,0,22,13,143,0,25,N,2,B,0.06709389
734,20091203,81,130,T,273,0,25,10,0,28,1,12,16,1,28,25,25,45,84,219,116,104,0,1,1,0,13,84,2,30,0,9,G,0.681513579
735,20090917,78,128,T,257,0,26,7,0,40,2,7,52,1,138,40,40,39,6,493,135,90,0,0,2,39,12,90,5,55,2,7,I,0.489909625
736,20100318,84,134,C,166,1,33,8,8,50,0,136,45,1,0,50,50,40,4,345,132,116,95,1,1,0,13,262,5,85,2,9,G,0.888825194
737,20091203,81,130,T,185,0,68,14,0,50,0,36,22,0,150,0,0,60,16,1056,96,92,84,1,2,35,12,189,7,30,1,9,I,0.063141202
738,20091203,81,130,C,339,0,10,4,0,20,0,78,46,1,20,20,20,16,26,171,144,124,39,1,1,0,13,40,9,55,1,2,B,0.796328062
739,20091203,81,130,C,754,0,0,0,0,42,0,148,70,1,0,42,42,44,13,753,110,103,135,1,1,0,11,0,1,50,0,0,E,0.431920659
740,20091203,81,130,T,162,1,24,7,6,25,0,52,25,0,25,0,0,70,441,76,206,125,25,1,1,0,10,83,5,90,1,9,G,0.03724487
741,20091203,80,130,T,407,0,0,0,0,102,2,1,36,1,152,51,51,46,72,179,57,50,93,1,1,0,13,0,3,65,2,5,G,0.981436504
742,20100318,84,134,C,414,0,0,0,0,80,1,21,58,2,160,200,100,100,6,1185,92,89,0,0,3,0,13,0,-2,40,3,9,I,0.221744128
743,20100318,84,134,C,122,1,15,4,4,23,0,1163,2,0,0,0,0,0,0,14,525,235,41,1,0,0,5,58,-2,35,N,0,B,0.517867897
744,20091203,80,130,T,304,0,34,7,0,36,1,16,60,0,178,0,0,34,29,232,87,56,0,0,2,0,11,80,5,30,1,6,G,0.00348778
745,20091203,80,130,T,295,0,38,5,0,100,1,17,55,3,300,417,139,103,20,771,56,49,0,0,3,0,13,64,7,45,2,7,G,0.584801414
746,20091203,80,130,T,919,0,0,0,0,200,1,5,41,0,320,0,0,112,39,590,69,64,0,1,2,0,13,0,2,45,0,8,G,0.945879776
747,20090917,77,128,C,411,0,0,0,0,55,0,119,71,2,0,82,41,31,5,456,126,119,116,2,0,0,13,0,6,10,2,1,B,0.461218227
748,20100318,84,134,C,423,0,0,0,0,50,0,52,9,1,50,41,41,41,5,371,123,112,70,1,1,0,13,0,9,55,2,7,G,0.143336411
749,20091203,80,130,T,119,1,22,8,6,30,0,105,57,3,0,90,30,35,16,473,128,117,124,2,0,0,13,89,3,10,4,9,I,0.149689051
750,20100318,84,134,C,560,0,0,0,0,50,0,66,22,2,50,98,49,66,5,805,110,107,150,1,0,0,12,0,3,85,0,9,B,0.855052623
751,20091203,80,130,T,663,0,0,0,0,27,1,10,34,0,88,0,0,27,32,250,77,73,0,0,3,0,13,0,2,65,3,2,G,0.400909808
752,20100318,84,134,C,493,0,0,0,0,48,1,24,34,1,144,48,48,48,7,460,73,70,0,0,3,0,13,0,10,40,2,9,B,0.951023173
753,20100318,84,134,T,1496,0,0,0,0,30,0,40,53,2,30,60,30,34,6,228,124,111,45,1,1,0,13,0,9,-2,3,6,G,0.816390743
754,20090917,77,128,T,320,0,9,7,0,20,1,14,19,1,40,20,20,23,14,89,53,46,0,0,3,0,11,60,2,70,2,2,G,0.209729314
755,20100318,84,134,C,121,1,22,25,25,104,0,331,10,0,0,0,0,104,12,109,211,131,46,1,0,0,7,562,3,55,2,4,G,0.947020412
756,20090917,77,128,T,124,1,85,2,2,40,0,163,8,1,0,40,40,70,14,136,161,117,44,1,1,0,11,170,-2,30,N,0,G,0.536147119
757,20100318,84,134,T,491,0,0,0,0,50,2,2,62,0,180,0,0,51,7,541,81,77,0,1,2,0,13,0,9,50,6,9,G,0.571968952
758,20100318,84,134,C,115,1,75,5,1,33,0,82,22,2,33,114,57,48,5,616,141,117,141,1,0,37,13,94,3,5,2,4,G,0.188157688
759,20100318,83,134,C,260,0,22,4,0,1,1,3,55,1,1,125,125,75,5,670,185,119,258,1,0,0,11,90,0,10,5,9,I,0.799307794
760,20090917,77,128,T,674,0,0,0,0,25,1,14,62,2,100,50,25,30,7,368,79,77,0,0,3,0,13,0,7,30,4,7,B,0.228981945
761,20100318,83,134,T,142,1,24,4,4,11,1,22,18,0,11,0,0,11,3,57,169,121,0,1,1,0,6,98,8,70,1,6,B,0.94213139
762,20100318,83,134,T,210,0,39,22,0,20,4,5,76,1,200,60,60,34,4,1438,97,95,0,0,3,2,13,217,2,20,6,9,I,0.129103599
763,20090917,77,128,T,1764,0,0,0,0,25,1,14,52,3,75,75,25,25,6,416,87,84,0,0,3,0,13,0,7,40,0,6,G,0.958008636
764,20090917,77,128,T,318,0,45,2,0,22,2,3,41,1,72,40,40,37,4,730,105,101,0,1,2,0,12,90,2,40,0,3,I,0.215040838
765,20100318,83,134,C,1237,0,0,0,0,15,0,117,63,2,0,55,28,23,5,255,131,123,68,1,0,0,13,0,2,55,1,9,I,0.038027186
766,20100318,83,134,T,201,0,33,7,0,25,0,110,69,1,0,25,25,26,4,366,179,119,107,2,0,0,12,114,5,40,4,1,B,0.133325856
767,20090917,76,128,C,1018,0,0,0,0,66,0,128,24,1,0,66,66,39,4,370,120,111,93,1,1,0,13,0,2,45,3,9,G,0.935013872
768,20091203,79,130,T,446,0,0,0,0,28,1,9,23,1,28,21,21,24,29,205,124,109,0,1,1,0,13,0,9,30,4,9,I,0.750165371
769,20090917,76,128,T,294,0,35,38,0,60,1,5,38,1,160,51,51,53,4,890,89,88,0,0,3,40,8,329,10,55,6,9,I,0.58110541
770,20100318,83,134,C,73,7,55,53,4,0,0,119,74,2,0,130,65,56,3,1486,145,117,449,2,0,40,13,224,1,40,0,4,B,0.053244433
771,20100318,81,81,C,96,2,250,2,1,28,0,75,46,2,28,48,24,29,5,557,160,110,151,1,0,56,13,250,3,25,2,1,I,0.555514046
772,20100318,81,81,T,121,1,20,4,4,38,0,386,5,0,0,0,0,0,0,29,334,179,40,1,0,6,5,82,1,40,2,4,B,0.444880188
773,20100318,81,81,C,120,2,40,25,7,28,0,113,52,2,0,58,29,25,4,592,131,115,167,1,0,5,13,141,1,30,3,5,G,0.086282018
774,20091203,77,77,C,381,0,16,16,0,50,1,9,46,3,150,150,50,43,15,707,83,79,0,0,3,0,12,129,9,55,2,9,I,0.661452803
775,20091203,77,77,T,185,0,77,3,0,33,0,175,11,0,0,0,0,27,22,269,162,103,64,1,1,35,10,115,1,15,2,4,E,0.393974113
776,20090917,75,74,C,1472,0,0,0,0,25,0,37,45,2,25,12,6,39,4,573,111,108,98,1,2,0,13,0,7,55,2,9,G,0.611985382
777,20091203,77,77,C,260,0,90,1,0,221,0,107,19,0,221,0,0,85,106,164,50,33,50,0,2,0,11,90,9,40,2,6,G,0.189666798
778,20090917,75,74,T,295,0,9,64,0,50,0,124,32,1,0,50,50,37,4,411,120,116,104,2,0,0,13,116,2,90,0,9,G,0.645961474
779,20091203,77,77,T,378,0,0,0,0,40,0,40,22,3,80,120,40,33,21,339,75,69,40,0,3,0,13,0,12,15,5,9,G,0.037776918
780,20090917,75,74,C,1421,0,0,0,0,10,3,2,78,13,110,130,10,10,7,551,82,79,0,0,3,0,13,0,1,40,0,2,G,0.555062692
781,20091203,77,77,C,108,1,43,5,2,120,0,134,70,2,0,250,125,129,13,1935,115,111,488,1,0,0,13,72,1,5,2,5,I,0.665053327
782,20100318,81,81,T,679,0,0,0,0,100,1,17,47,2,300,200,100,145,5,1757,92,92,0,0,3,0,13,0,9,25,U,5,I,0.376330569
783,20100318,81,81,T,103,5,45,17,3,20,3,0,52,0,67,0,0,22,3,309,157,99,0,1,1,39,6,151,5,15,2,9,I,0.557343743
784,20091203,77,76,T,1281,0,0,0,0,66,0,114,52,1,0,66,66,58,35,366,120,112,92,1,1,0,12,0,5,40,3,8,B,0.512578154
785,20100318,81,80,T,96,3,43,28,9,159,0,763,33,0,0,0,0,0,0,169,224,122,73,1,0,5,5,403,2,25,6,2,B,0.351721863
786,20091203,77,77,C,180,0,17,5,0,0,0,633,3,0,0,0,0,0,0,29,354,188,41,1,0,0,7,85,-2,70,N,0,B,0.917208542
787,20100318,81,81,C,386,0,0,0,0,40,1,19,38,1,40,50,50,38,6,353,108,103,0,1,2,0,13,0,5,10,3,8,G,0.964927879
788,20090917,74,74,T,1016,0,0,0,0,20,1,3,34,0,60,0,0,34,5,321,98,90,0,1,2,0,13,0,3,55,3,9,I,0.011449385
789,20100318,81,80,T,140,1,22,2,2,40,0,120,14,1,0,40,40,37,7,158,150,135,46,2,0,0,13,45,2,55,0,3,G,0.400515893
790,20090917,74,74,T,283,0,14,28,0,45,0,35,53,1,141,44,44,45,5,523,143,93,47,1,1,0,12,101,2,30,3,2,I,0.304183865
791,20100318,80,80,C,535,0,0,0,0,50,1,12,46,2,150,150,75,59,8,575,73,65,0,0,3,0,13,0,6,85,1,1,G,0.549514858
792,20091203,77,77,T,772,0,0,0,0,25,1,21,70,2,50,71,35,41,12,606,110,107,104,2,0,0,13,0,5,10,1,0,I,0.433776375
793,20091203,77,77,C,1836,0,0,0,0,50,1,17,39,2,150,80,40,45,15,718,100,95,0,0,3,0,13,0,3,30,2,9,I,0.888531645
794,20090917,74,73,T,383,0,0,0,0,18,0,121,54,2,0,55,27,25,5,299,127,121,79,1,0,0,13,0,1,10,4,9,I,0.953863355
795,20100318,80,79,T,1123,0,0,0,0,75,1,22,70,3,225,219,73,64,8,874,76,73,0,0,3,0,13,0,7,25,2,1,G,0.66060261
796,20091203,74,73,T,178,0,132,6,0,140,0,124,26,2,0,210,105,97,20,1418,112,109,365,2,0,36,13,199,6,15,1,3,B,0.988132076
797,20091203,74,74,T,355,0,150,1,0,40,1,14,52,4,110,130,33,34,14,514,84,81,0,0,3,100,12,150,-2,35,N,0,I,0.946990038
798,20100318,76,76,T,161,1,27,26,9,51,0,119,14,1,0,51,51,27,4,311,133,128,82,2,0,0,8,231,1,35,0,2,B,0.167567904
799,20090917,70,69,T,642,0,0,0,0,160,0,261,49,0,0,0,0,160,2,2580,112,109,560,0,3,0,13,0,5,70,1,3,I,0.565401892
800,20090917,70,70,T,301,0,3,6,0,50,1,23,24,2,100,30,15,20,14,150,41,40,0,0,3,0,13,20,6,-2,3,9,G,0.247968704
801,20100318,76,76,C,208,0,24,13,0,25,0,49,16,1,25,25,25,25,4,213,119,114,28,1,2,5,7,312,5,30,5,8,I,0.263264466
802,20090917,70,69,T,506,0,0,0,0,60,1,14,59,3,170,165,55,56,4,1051,90,88,0,0,3,0,12,0,1,40,2,1,G,0.779238066
803,20091203,73,72,C,317,0,99,2,0,52,0,38,24,1,52,51,51,40,26,471,114,110,68,1,2,0,13,198,5,70,1,2,G,0.857716463
804,20091203,73,70,C,264,0,65,3,0,20,1,14,55,0,40,0,0,21,16,438,101,94,0,1,2,0,12,195,4,20,2,6,I,0.769555754
805,20091203,73,72,T,287,0,15,8,0,45,0,120,8,1,0,45,45,55,389,44,197,131,40,1,1,17,11,62,3,95,U,8,G,0.833696015
806,20100318,76,76,C,119,5,49,31,6,10,0,119,17,1,0,10,10,13,1,532,221,121,223,1,0,10,8,303,-2,45,N,5,B,0.349887394
807,20091203,72,72,C,386,0,0,0,0,80,0,57,55,2,80,180,90,154,17,1738,105,104,108,0,3,0,13,0,5,60,2,1,I,0.16813247
808,20100318,76,75,T,437,0,0,0,0,40,1,12,66,0,120,0,0,44,5,666,94,91,0,0,3,0,13,0,3,30,3,5,I,0.260241326
809,20091203,72,72,T,1834,0,0,0,0,25,1,7,43,3,75,75,25,32,15,399,86,83,0,0,3,0,12,0,3,45,1,1,G,0.956380536
810,20100318,76,76,C,1739,0,0,0,0,1,2,0,58,4,3,4,1,1,0,627,113,108,60,1,1,0,13,0,4,40,3,3,I,0.252845663
811,20090917,70,69,C,663,0,0,0,0,30,1,12,70,3,90,90,30,26,9,255,63,58,0,0,3,0,13,0,4,55,0,7,G,0.399899315
812,20091203,72,72,C,1100,0,0,0,0,20,0,169,59,1,0,20,20,20,23,123,121,102,30,1,1,0,11,0,1,15,0,1,E,0.215108155
813,20090917,70,69,C,131,1,10,6,5,25,0,36,45,1,25,38,38,24,6,240,143,108,36,1,1,48,12,31,5,20,2,7,G,0.782008375
814,20090917,70,70,C,324,0,24,10,0,50,0,126,47,2,0,80,40,38,5,406,121,116,103,2,0,0,13,121,6,30,1,0,I,0.068326528
815,20100318,76,76,C,850,0,0,0,0,40,1,21,54,1,80,40,40,40,5,684,98,97,60,0,3,0,13,0,2,15,6,6,I,0.736175066
816,20100318,76,76,T,504,0,0,0,0,51,1,22,49,1,51,20,20,162,31,115,87,81,0,1,2,0,13,0,9,75,1,6,G,0.196536935
817,20090917,70,69,C,693,0,0,0,0,120,1,12,61,3,360,360,120,127,7,1397,75,70,0,0,3,0,13,0,7,55,0,1,G,0.214569434
818,20100318,76,76,T,289,0,26,10,0,15,1,22,72,5,60,50,10,16,9,358,105,103,19,1,2,0,13,132,6,25,1,1,I,0.694756636
819,20090917,69,69,C,127,1,95,9,5,25,0,36,97,1,25,70,70,66,4,1189,120,108,272,1,1,0,13,426,13,30,3,0,I,0.253722049
820,20100318,76,76,T,204,0,70,9,0,30,1,17,15,1,70,40,40,22,4,640,97,94,0,0,3,52,13,158,9,40,6,9,I,0.395406135
821,20091203,72,72,C,318,0,46,3,0,35,0,36,37,1,35,59,59,41,27,356,117,106,55,1,1,0,13,138,1,70,U,3,G,0.460092727
822,20090917,69,69,C,777,0,0,0,0,30,1,14,51,1,30,20,20,28,5,320,119,110,0,2,1,0,13,0,2,30,1,3,B,0.721851876
823,20091203,72,72,C,213,0,385,1,0,93,0,124,25,1,0,93,93,61,30,787,123,120,201,2,0,0,13,385,3,30,0,9,B,0.544492603
824,20090917,69,69,C,792,0,0,0,0,40,2,9,54,1,80,60,60,51,5,473,139,92,0,0,2,0,11,0,2,20,1,1,I,0.906180502
825,20090917,69,68,C,1750,0,0,0,0,45,0,77,28,1,45,67,67,57,5,373,115,107,71,1,1,0,13,0,4,25,1,9,G,0.431426664
826,20090917,69,69,C,325,0,16,4,0,50,1,14,46,0,150,0,0,48,7,404,81,74,0,1,2,0,13,31,-2,70,N,3,G,0.049936832
827,20091203,72,71,T,1127,0,0,0,0,20,3,2,55,1,200,40,40,30,9,717,85,81,0,0,3,0,13,0,5,60,5,5,G,0.277704166
828,20090917,69,69,C,92,2,22,18,5,50,0,103,44,2,0,105,53,68,4,856,119,113,218,2,0,0,13,132,3,-2,3,8,G,0.80610216
829,20090917,69,69,C,113,8,55,42,4,0,0,112,65,2,0,86,43,34,3,829,280,114,384,2,0,32,13,164,0,15,3,5,B,0.243116167
830,20100318,75,75,T,201,1,42,7,7,10,0,121,9,1,0,10,10,10,1,168,143,130,48,1,0,0,6,295,0,30,0,1,B,0.673566506
831,20091203,71,71,T,740,0,0,0,0,15,0,120,55,2,0,30,15,20,21,230,143,132,64,1,0,0,13,0,8,40,2,9,G,0.616149015
832,20091203,71,71,T,1102,0,0,0,0,40,1,16,58,3,120,120,40,41,18,517,80,76,0,0,3,0,12,0,2,30,0,5,G,0.118981714
833,20091203,71,71,C,372,0,31,5,0,153,0,78,52,2,153,146,73,110,18,1260,102,99,224,2,1,84,13,77,2,40,2,1,B,0.892140395
834,20090917,68,68,C,674,0,0,0,0,20,0,64,55,4,20,80,20,18,3,456,103,101,20,0,3,0,12,0,3,25,1,2,I,0.300015717
835,20090917,68,68,T,280,0,57,16,0,100,0,43,37,2,200,200,100,86,6,852,75,69,100,0,3,22,13,227,5,55,3,9,G,0.223122948
836,20100318,75,74,C,120,2,10,27,14,25,0,120,9,1,0,25,25,25,4,92,170,144,40,1,0,0,6,129,4,95,0,5,G,0.207410501
837,20090917,68,68,C,649,0,0,0,0,45,3,7,74,12,495,540,45,76,5,3404,91,89,0,0,3,0,13,0,3,55,U,1,I,0.929821003
838,20091203,71,70,C,334,0,9,10,0,70,0,33,57,1,70,62,62,66,13,1138,122,113,293,1,1,0,13,94,5,25,3,1,G,0.156537529
839,20091203,71,70,T,456,0,0,0,0,165,1,1,49,3,247,247,82,93,23,643,59,54,0,0,3,0,13,0,9,50,3,9,G,0.259650449
840,20090917,68,67,T,649,0,0,0,0,15,1,24,41,3,30,45,15,18,5,300,96,94,15,0,3,0,13,0,5,20,3,3,I,0.321458446
841,20091203,70,70,C,733,0,0,0,0,20,0,51,47,1,41,20,20,21,20,176,122,107,17,1,1,0,13,0,2,10,2,4,I,0.621733396
842,20100318,74,74,C,1167,0,0,0,0,50,1,10,55,3,200,150,50,60,9,447,54,50,0,0,3,0,13,0,5,30,0,9,G,0.137551152
843,20100318,74,74,T,136,2,32,17,5,263,0,49,24,1,263,72,72,116,6,1459,114,101,199,1,1,68,13,182,4,55,2,1,G,0.792787197
844,20100318,74,74,C,75,2,25,36,10,40,1,12,46,3,40,120,40,43,5,875,142,129,185,1,0,2,13,180,3,55,2,3,I,0.114159528
845,20090917,67,67,C,306,0,14,8,0,30,1,21,47,2,76,53,27,26,8,232,71,69,0,0,3,26,12,115,1,70,0,3,G,0.977780867
846,20100318,74,74,T,478,0,0,0,0,75,1,15,46,1,149,70,70,67,6,680,93,89,0,0,3,0,13,0,3,30,3,9,I,0.54932409
847,20090917,67,67,T,323,0,29,15,0,20,2,5,59,1,87,66,66,35,6,586,96,92,0,1,2,0,13,144,4,30,1,7,I,0.632834796
848,20091203,70,70,C,1475,0,0,0,0,62,1,17,26,1,62,116,116,83,40,493,114,105,0,1,1,0,13,0,7,60,3,9,G,0.674302137
849,20100318,74,74,T,131,4,23,7,2,50,1,8,40,1,50,30,30,44,3,578,116,104,0,1,1,44,13,39,6,40,2,3,I,0.530563425
850,20091203,70,70,T,766,0,0,0,0,30,0,66,36,0,30,0,0,26,18,231,165,105,52,1,1,0,12,0,1,20,5,3,B,0.558152571
851,20091203,70,69,C,371,0,16,14,0,33,0,50,75,1,66,45,45,33,14,509,99,96,33,0,3,30,13,109,3,40,1,3,I,0.138455187
852,20100318,74,73,T,92,5,10,36,7,26,0,2016,1,0,0,0,0,0,0,100,329,125,63,1,0,46,5,69,-2,30,N,0,B,0.125839771
853,20090917,67,67,C,533,0,0,0,0,30,1,15,28,1,90,35,35,34,6,369,141,92,0,0,2,0,11,0,1,70,0,1,I,0.346724601
854,20090917,67,67,T,1783,0,0,0,0,70,0,54,31,2,70,60,30,39,5,389,118,107,54,1,1,0,13,0,3,90,0,9,G,0.88562273
855,20090917,67,67,T,1006,0,0,0,0,46,0,103,47,1,46,23,23,47,5,396,115,107,77,1,1,0,13,0,3,55,0,2,B,0.07945804
856,20091203,70,70,C,597,0,0,0,0,30,0,190,60,0,0,0,0,33,13,482,110,103,112,1,2,0,11,0,2,30,1,0,E,0.877503596
857,20091203,70,70,C,1260,0,0,0,0,25,1,15,68,3,75,85,28,33,8,834,108,105,133,1,1,0,12,0,1,45,3,1,I,0.721110743
858,20090917,67,67,T,192,0,39,12,0,29,0,43,35,3,29,109,36,49,5,641,124,99,135,1,1,39,12,116,-2,30,N,4,G,0.297315744
859,20090917,67,66,C,583,0,0,0,0,70,0,36,44,0,70,0,0,62,6,204,300,100,71,0,1,0,11,0,2,15,2,2,G,0.868834228
860,20100318,74,71,T,159,0,0,0,0,30,1,12,12,0,30,0,0,30,5,89,189,114,12,1,0,0,5,0,5,55,6,4,G,0.260935426
861,20090917,67,67,C,332,0,29,17,0,30,1,19,22,2,90,112,56,32,4,674,91,85,0,0,3,85,12,250,8,65,3,9,I,0.429117655
862,20091203,70,70,C,362,0,50,1,0,57,0,120,21,2,0,87,44,38,32,313,132,125,82,1,1,100,13,50,-2,55,1,2,I,0.419645028
863,20090917,67,67,C,619,0,0,0,0,100,1,8,62,3,300,300,100,108,5,1915,90,88,0,0,3,0,13,0,10,55,4,6,I,0.116002611
864,20100318,74,73,C,625,0,0,0,0,35,1,3,58,2,105,70,35,35,5,658,92,88,0,0,3,0,13,0,7,30,1,3,I,0.794548369
865,20090917,67,67,C,110,2,29,18,2,0,0,101,49,2,0,68,34,53,7,530,127,114,141,1,0,0,13,53,-2,30,4,3,B,0.014895327
866,20100318,74,73,C,247,0,37,2,0,1,0,43,57,3,4,113,38,33,5,539,119,115,133,1,0,0,13,75,5,55,3,9,I,0.838269073
867,20091203,70,70,C,700,0,0,0,0,95,1,5,40,0,285,0,0,81,20,899,82,78,0,0,3,0,13,0,-2,30,N,0,G,0.659317251
868,20091203,70,70,C,400,0,0,0,0,20,0,63,29,2,20,40,20,17,65,52,176,142,20,1,0,0,13,0,7,55,3,9,G,0.396128182
869,20100318,73,73,T,113,2,81,14,5,0,0,117,18,2,0,20,10,27,7,282,174,118,101,1,0,18,13,378,2,15,2,2,B,0.646420288
870,20090917,67,67,T,271,0,42,12,0,30,0,68,35,1,30,30,30,67,9,471,107,103,50,1,2,78,13,252,1,65,0,1,I,0.733009759
871,20090917,67,67,C,259,0,32,23,0,30,3,3,64,6,260,318,53,65,4,2103,93,90,0,0,3,32,13,124,2,50,3,9,I,0.116150156
872,20100318,73,73,C,152,2,15,3,2,40,0,100,29,2,0,93,46,51,5,463,119,115,106,2,0,0,13,22,6,25,6,9,B,0.554721633
873,20091203,70,69,T,226,0,13,1,0,10,1,14,64,2,35,20,10,13,10,208,150,97,0,0,2,0,11,13,2,40,3,6,I,0.564626814
874,20100318,73,73,T,177,0,100,1,0,22,2,9,15,0,84,0,0,37,12,139,128,81,0,0,2,0,12,100,1,20,0,6,G,0.969302096
875,20090917,67,66,C,1006,0,0,0,0,40,1,10,33,2,80,104,52,53,7,470,87,84,0,0,3,0,13,0,-2,25,N,0,G,0.638902088
876,20100318,73,72,C,124,1,26,11,4,10,1,9,27,1,30,40,40,21,5,260,133,110,58,1,1,0,13,71,3,40,1,0,G,0.016130139
877,20100318,73,73,T,105,1,33,11,4,15,3,0,7,1,45,86,86,33,38,34,112,65,0,1,1,0,8,180,-2,25,N,0,G,0.11324392
878,20100318,73,73,T,728,0,0,0,0,60,1,5,65,2,180,236,118,101,5,1675,95,90,0,0,3,0,13,0,-2,50,N,0,I,0.769980505
879,20100318,73,73,C,750,0,0,0,0,44,0,134,17,1,0,44,44,49,5,252,125,118,65,1,1,0,13,0,5,20,2,9,I,0.701908941
880,20091203,70,69,C,161,1,41,9,1,46,0,135,56,2,0,91,45,40,16,781,119,114,201,1,0,0,12,124,-2,-2,N,3,B,0.891513695
881,20090917,67,67,C,306,0,13,15,0,22,1,16,44,1,66,40,40,35,7,382,88,84,0,0,3,0,13,100,-2,15,N,1,I,0.309634645
882,20091203,69,69,C,94,5,35,67,2,0,0,105,11,3,0,217,72,45,13,1238,124,112,327,1,0,4,13,82,1,35,2,0,I,0.697026925
883,20090917,67,67,T,217,0,23,9,0,5,1,24,35,2,6,90,45,19,20,76,140,85,34,1,1,0,10,42,2,25,5,0,I,0.061370578
884,20090917,67,67,T,381,0,0,0,0,30,0,131,17,1,0,30,30,23,6,180,142,134,50,2,0,0,13,0,4,20,6,9,I,0.710312585
885,20100318,73,73,C,205,0,64,18,0,80,0,113,58,2,0,160,80,62,5,1379,112,107,342,2,0,45,13,229,3,45,1,0,B,0.680770883
886,20100318,73,73,C,241,0,80,1,0,31,0,117,56,2,0,62,31,34,4,525,129,123,139,1,0,0,13,80,-2,30,N,0,B,0.693311014
887,20100318,73,73,C,187,0,38,22,0,0,0,173,21,0,0,0,0,0,0,178,210,127,74,1,0,12,7,417,4,25,6,8,G,0.20383791
888,20091203,69,69,T,1764,0,0,0,0,47,1,24,49,3,94,141,47,48,22,399,75,69,47,0,3,0,13,0,-2,40,N,0,G,0.482103034
889,20100318,73,73,C,194,0,34,1,0,50,1,5,52,0,100,0,0,32,7,304,91,83,0,1,2,0,13,34,4,40,3,4,G,0.893053647
890,20090917,67,67,C,252,0,19,24,0,24,2,9,28,3,64,60,20,21,6,273,146,96,0,0,2,13,12,64,3,55,0,6,I,0.597212781
891,20091203,69,69,T,322,0,52,4,0,38,0,44,27,1,78,30,30,32,17,526,104,98,76,1,2,0,13,210,7,80,1,5,I,0.421636903
892,20100318,73,73,T,204,0,0,0,0,38,0,855,3,0,0,0,0,0,0,43,201,135,40,1,1,0,5,0,1,95,0,7,G,0.83774279
893,20090917,67,66,T,642,0,0,0,0,50,1,21,50,2,100,150,75,72,4,779,146,95,0,0,2,0,12,0,10,30,2,5,I,0.73734289
894,20091203,69,69,T,437,0,0,0,0,90,1,7,62,3,270,310,103,99,10,1835,91,88,0,0,3,0,13,0,4,40,0,2,I,0.681030028
895,20090917,67,66,T,680,0,0,0,0,200,1,21,36,0,400,0,0,112,6,864,72,67,0,1,2,0,12,0,7,90,U,8,G,0.213042697
896,20090917,67,66,T,432,0,0,0,0,50,1,21,41,1,110,40,40,47,6,434,95,89,0,1,1,0,12,0,3,40,1,4,G,0.274984912
897,20100318,73,73,T,150,3,23,109,24,165,1,21,55,1,665,108,108,214,7,2479,109,88,0,1,1,26,13,358,3,30,2,3,I,0.706684818
898,20090917,67,66,T,257,0,30,12,0,130,0,31,53,1,130,129,129,120,4,1493,153,100,273,0,2,67,10,121,2,60,0,8,I,0.833192126
899,20091203,69,69,C,653,0,0,0,0,40,0,61,29,3,40,160,53,49,14,616,103,101,80,0,3,0,13,0,4,55,3,4,G,0.647820916
900,20100318,73,72,C,474,0,0,0,0,35,0,42,22,1,35,11,11,24,7,191,124,110,28,1,1,0,13,0,6,50,3,7,I,0.959547409
901,20100318,73,73,C,101,10,15,85,8,47,0,486,22,0,0,0,0,0,0,289,307,123,152,1,0,17,6,117,1,70,0,2,I,0.177392183
902,20100318,73,73,C,52,3,33,18,4,30,0,114,8,1,0,30,30,30,2,195,208,145,69,1,1,0,8,120,1,30,0,9,B,0.498009136
903,20100318,73,73,C,1435,0,0,0,0,50,1,21,59,2,150,100,50,47,6,516,131,86,0,0,2,0,12,0,5,75,1,9,G,0.55455505
904,20100318,73,73,T,145,1,10,29,29,46,2,14,39,0,147,0,0,32,7,367,101,83,0,1,2,20,13,301,4,35,6,9,B,0.164674084
905,20090917,67,65,C,642,0,0,0,0,25,1,9,52,2,75,49,25,22,9,144,93,56,0,0,2,0,12,0,5,55,4,7,I,0.25269736
906,20090917,67,66,C,1008,0,0,0,0,55,0,119,33,1,0,55,55,68,7,311,122,115,79,1,1,0,13,0,4,30,1,4,G,0.890587521
907,20091203,69,69,C,432,0,0,0,0,45,1,9,67,3,135,135,45,42,12,710,86,83,0,0,3,0,13,0,4,50,0,1,I,0.30112502
